,molecule_chembl_id,canonical_smiles,0,pIC50
2635,CHEMBL4108572,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cccc(Br)c1,active,10.119186407719209
2636,CHEMBL4107592,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cc(F)cc(I)c1,active,11.177178354696895
2637,CHEMBL4111409,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,9.98296666070122
2638,CHEMBL3901227,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CCC[C@@H](O)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.536107011014092
2639,CHEMBL4111913,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CCC[C@H](O)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.254144804826272
2640,CHEMBL4111399,CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCCC(O)C3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.688246138944246
2641,CHEMBL4110468,CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.681936665037238
2642,CHEMBL4111789,NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCCC(O)C3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.823908740944319
2643,CHEMBL4114349,CCNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.522878745280337
2644,CHEMBL4108056,NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cc(F)cc(I)c1,active,11.077274542006739
2645,CHEMBL4108747,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](OC)CC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.688246138944246
2646,CHEMBL4112935,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](OC)CC3)cnc2N)cc1F)c1cccc(Br)c1,active,10.396855627379818
2647,CHEMBL4108962,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.73754891026957
2648,CHEMBL4111042,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](OC)CC3)cnc2N)cc1F)c1cccc(Cl)c1,active,10.154901959985743
2649,CHEMBL4113613,CCNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,active,10.605548319173783
2650,CHEMBL4110654,CCNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Br)c1,active,10.209714835966759
2651,CHEMBL4111422,CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,active,11.013228265733755
2652,CHEMBL4112962,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Br)c1,active,10.679853713888946
2653,CHEMBL4107945,CO[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)N[C@H](CN)c4cc(F)cc(I)c4)c(F)c3)n2)CC1,active,10.97061622231479
2654,CHEMBL4108368,CO[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)N[C@H](CN)c4cccc(Br)c4)c(F)c3)n2)CC1,active,10.161780778092375
2655,CHEMBL4111888,Nc1ncc(C2CCCC(O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,active,10.211831628858832
2656,CHEMBL4108154,Nc1ncc(C2CCCC(O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Br)c2)c(F)c1,active,9.913640169325252
2657,CHEMBL4108345,CSc1cccc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,active,11.0
2658,CHEMBL4106863,CSc1cccc([C@@H](CO)NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)cnc3N)cc2F)c1,active,10.570247719997592
2659,CHEMBL4108246,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(CCl)c2)c(F)c1,active,10.616184634019568
2660,CHEMBL4113682,Nc1ncc(C2CCCC(O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,active,9.939302159646388
2661,CHEMBL4107391,NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,active,10.344861565188618
2662,CHEMBL4109955,CSc1cc(F)cc([C@@H](CO)NC(=O)c2ccc(-c3nc(-c4cn(C)nc4C)cnc3N)cc2F)c1,active,10.8153085691824
2663,CHEMBL4114093,CSc1cc(F)cc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,active,11.082494490447454
2664,CHEMBL4114593,CSc1cc(F)cc([C@@H](CO)NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)cnc3N)cc2F)c1,active,10.703334809738468
2665,CHEMBL4108238,Nc1ncc(C2CCC(=O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,active,10.443697499232712
2666,CHEMBL4112345,C[C@@H](O)[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.55129368009492
2667,CHEMBL3945881,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)NCc2cccc(Cl)n2)c(F)c1,active,7.6777807052660805
2668,CHEMBL3975240,Nc1ncc([C@H]2CC[C@@H](O)CC2)nc1-c1ccc(C(=O)NCc2cccc(Cl)n2)c(F)c1,active,6.798602875679548
2669,CHEMBL4112340,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,active,10.334419008982048
2670,CHEMBL4113039,[N-]=[N+]=NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.360513510731414
2671,CHEMBL4110151,[N-]=[N+]=NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,active,8.23582386760967
2672,CHEMBL4112181,[N-]=[N+]=NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.939302159646388
2673,CHEMBL4111729,CC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.623423042943488
2674,CHEMBL4106946,CO[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)N[C@H](CNC(C)=O)c4cccc(Cl)c4)c(F)c3)n2)CC1,active,9.603800652904264
2675,CHEMBL4115243,COC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.47755576649368
2676,CHEMBL4108926,CC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.69680394257951
2677,CHEMBL4112792,COC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,active,9.647817481888637
2678,CHEMBL4110708,COC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.025488307262671
2679,CHEMBL4109474,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CNCCF)c2cc(F)cc(Br)c2)c(F)c1,active,10.129011186239424
2680,CHEMBL4110246,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CNCCF)c2cc(F)cc(Br)c2)c(F)c1,active,9.42712839779952
2681,CHEMBL4108313,NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,active,10.698970004336019
