molecule_chembl_id,canonical_smiles,standard_value,0
CHEMBL2381116,COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,20000.0,inactive
CHEMBL2408788,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4ccccc4)ncc23)ccn1,0.8512,active
CHEMBL2408789,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)ccn1,0.2045,active
CHEMBL2408790,COc1cccc(F)c1CN1CCC[C@@H](NC(=O)Nc2cc3[nH]nc(-c4ccnc(C)c4)c3cn2)C1,0.2857,active
CHEMBL2420911,c1nc(N2CCC3(CCCNC3)CC2)c2nc[nH]c2n1,38000.0,inactive
CHEMBL2420909,c1nc(N2CCC3(CCCCN3)CC2)c2nc[nH]c2n1,47000.0,inactive
CHEMBL2436978,CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1,6290.0,intermediate
CHEMBL3361128,O=C1/C(=C\c2ccc(O)c(O)c2)Oc2ccccc21,100000.0,inactive
CHEMBL3298565,COc1ccc(CNC(=O)N2CCc3cnc(NC(C)C)nc3C2)cc1,106.0,active
CHEMBL3298671,CC(C)Nc1ncc2c(n1)CN(C(=O)NCc1ccccc1)CC2,283.0,active
CHEMBL3298672,CC(C)Nc1ncc2c(n1)CN(C(=O)NCc1ccc(F)cc1)CC2,69.0,active
CHEMBL3298673,CC(C)Nc1ncc2c(n1)CN(C(=O)NCc1ccc(Cl)cc1)CC2,91.0,active
CHEMBL3298674,CC(C)Nc1ncc2c(n1)CN(C(=O)NCc1cccc(F)c1)CC2,93.0,active
CHEMBL3298894,CC(C)Nc1ncc2c(n1)CN(C(=O)NCc1cccc(Cl)c1)CC2,89.0,active
CHEMBL3297847,CC(C)Nc1ncc2c(n1)CN(C(=O)NCc1ccc(Cl)c(F)c1)CC2,81.0,active
CHEMBL3297848,CC(C)Nc1ncc2c(n1)CN(C(=O)NCc1ccc(F)c(Cl)c1)CC2,66.0,active
CHEMBL3297849,CC(C)Nc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,4.0,active
CHEMBL3297850,CC(C)Nc1ncc2c(n1)CN(C(=O)N[C@@H](c1ccc(F)c(Cl)c1)[C@@H](C)O)CC2,3.0,active
CHEMBL3297851,CC(C)Nc1ncc2c(n1)CN(C(=O)N[C@@H](c1ccc(F)c(Cl)c1)[C@H](C)O)CC2,6.0,active
CHEMBL3297852,CC[C@H](O)[C@@H](NC(=O)N1CCc2cnc(NC(C)C)nc2C1)c1ccc(F)c(Cl)c1,2.0,active
CHEMBL3297853,COC[C@@H](NC(=O)N1CCc2cnc(NC(C)C)nc2C1)c1ccc(F)c(Cl)c1,11.0,active
CHEMBL3297854,COCCOC[C@@H](NC(=O)N1CCc2cnc(NC(C)C)nc2C1)c1ccc(F)c(Cl)c1,122.0,active
CHEMBL3297855,CC(C)Nc1ncc2c(n1)CN(C(=O)N[C@H](CN)c1ccc(F)c(Cl)c1)CC2,2.0,active
CHEMBL3297856,CNC[C@@H](NC(=O)N1CCc2cnc(NC(C)C)nc2C1)c1ccc(F)c(Cl)c1,4.0,active
CHEMBL3297857,CC(C)Nc1ncc2c(n1)CN(C(=O)N[C@H](CNCCO)c1ccc(F)c(Cl)c1)CC2,8.0,active
CHEMBL3297858,CC(C)Nc1ncc2c(n1)CN(C(=O)N[C@H](CNS(C)(=O)=O)c1ccc(F)c(Cl)c1)CC2,7.0,active
CHEMBL3298304,CNc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,43.0,active
CHEMBL3298305,CCNc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,20.0,active
CHEMBL3298306,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)N1CCc2cnc(NCCO)nc2C1,9.0,active
CHEMBL3298307,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)N1CCc2cnc(NC3CCCC3)nc2C1,4.0,active
CHEMBL3298414,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,1.0,active
CHEMBL3357948,C[C@@H](CO)Nc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,3.0,active
CHEMBL3298416,CC(C)(C)Nc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,41.0,active
CHEMBL3298417,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)N1CCc2cnc(N[C@H]3CC[C@H](O)C3)nc2C1,2.0,active
CHEMBL3298566,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)N1CCc2cnc(Nc3ccc(F)cc3)nc2C1,3.0,active
CHEMBL3298567,Cc1noc(C)c1Nc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,26.0,active
CHEMBL3357949,CC(C)CNc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,10.0,active
CHEMBL3298675,CC(=O)Nc1ncc2c(n1)CN(C(=O)N[C@H](CO)c1ccc(F)c(Cl)c1)CC2,93.0,active
CHEMBL3298676,Cn1cc(Nc2ncc3c(n2)CN(C(=O)N[C@H](CO)c2ccc(F)c(Cl)c2)CC3)cn1,6.0,active
CHEMBL3298677,Cc1cc(Nc2ncc3c(n2)CN(C(=O)N[C@H](CO)c2ccc(F)c(Cl)c2)CC3)ccn1,7.0,active
CHEMBL3298678,O=C(N[C@H](CO)c1ccc(Cl)c(F)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,2.0,active
CHEMBL3298982,O=C(N[C@H](CO)c1ccc(Cl)c(Cl)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,1.0,active
